FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.471,.510,.368,.522,.750,.538,.118,.279,102,97,103,99,97,95,45,73,-0.9,-3.8
.409,.437,.375,.494,.827,.537,.245,.452,89,83,105,93,107,95,94,118,-39.7,-34.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.455,.607,.331,.547,.775,.565,.133,.551,99,116,93,103,100,100,51,144,10.6,.2
.425,.465,.365,.498,.786,.509,.065,.397,92,89,102,94,102,90,25,103,-13.3,-24.7
.667,.667,,.667,.875,.741,.667,.000,145,127,,126,113,131,256,,3.3,5.5
.700,.700,,.700,.833,.752,.600,.000,152,134,,132,108,133,231,,3.4,4.7
.500,.500,,.500,1.000,.694,1.000,.000,109,95,,95,129,123,384,,-0.1,.7
.422,.593,.335,.533,.798,.559,.172,.664,92,113,94,101,103,99,66,173,6.3,-8.2
.435,.587,.346,.544,.798,.572,.190,.629,95,112,97,103,103,101,73,164,15.4,8.1
.392,.610,.316,.509,.800,.531,.132,.740,85,116,88,96,104,94,51,193,-9.1,-16.3
.356,.466,.302,.458,.714,.469,.079,.672,77,89,85,87,92,83,30,175,-25.2,-34.9
.364,.440,.323,.469,.750,.482,.084,.650,79,84,90,89,97,85,32,169,-17.2,-24.5
.324,.625,.231,.412,.500,.416,.059,.765,70,119,64,78,65,74,23,199,-8.0,-10.4
.461,.603,.326,.545,.611,.553,.134,.513,100,115,91,103,79,98,51,134,8.5,-6.7
.500,.500,.500,.625,,.625,.000,.500,109,95,140,118,,111,,130,.8,.5
.401,.538,.343,.521,.776,.553,.222,.700,87,103,96,99,100,98,85,182,-8.5,-14.0
.368,.519,.293,.466,.789,.507,.238,.667,80,99,82,88,102,90,92,174,-50.0,-50.9
.482,.611,.445,.655,.733,.669,.183,.780,105,117,124,124,95,118,70,203,41.5,36.9
.404,.471,.299,.462,.462,.467,.206,.388,88,90,83,87,60,83,79,101,-75.8,-120.8
.495,.549,.452,.621,.825,.643,.169,.559,108,105,126,117,107,114,65,146,105.9,96.5
.402,.636,.245,.476,1.000,.556,.317,.598,87,121,68,90,129,99,122,156,-8.7,-1.5
.387,.481,.348,.511,.625,.518,.086,.710,84,92,97,97,81,92,33,185,-6.7,-18.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.392,.478,.357,.519,.625,.527,.101,.709,85,91,100,98,81,93,39,185,-3.1,-12.4
.357,.500,.300,.464,,.464,.000,.714,78,95,84,88,,82,,186,-3.6,-5.6
.503,.546,.330,.536,.846,.610,.479,.199,109,104,92,101,109,108,184,52,14.8,119.2
.478,.478,,.478,.500,.489,.304,.000,104,91,,90,65,87,117,,-4.7,-7.9
.456,.541,.388,.564,.864,.588,.135,.555,99,103,109,107,112,104,52,145,30.9,21.2
.400,.540,.206,.443,.833,.473,.141,.420,87,103,57,84,108,84,54,109,-43.7,-49.9
.404,.550,.197,.444,.821,.477,.164,.415,88,105,55,84,106,85,63,108,-28.9,-32.0
.393,.521,.222,.440,.875,.463,.095,.429,85,99,62,83,113,82,37,112,-14.8,-17.8
.354,.488,.231,.414,.865,.463,.211,.520,77,93,64,78,112,82,81,135,-40.1,-39.0
.531,.540,.257,.535,.845,.603,.430,.033,115,103,72,101,109,107,165,9,13.5,95.1
.648,.655,.333,.651,.872,.688,.275,.021,141,125,93,123,113,122,106,6,34.8,39.2
.446,.485,.281,.473,.603,.491,.213,.193,97,93,78,89,78,87,82,50,-33.1,-47.6
.456,.528,.355,.530,.772,.568,.278,.418,99,101,99,100,100,101,107,109,1.0,2.7
.448,.497,.383,.531,.797,.563,.213,.433,97,95,107,100,103,100,82,113,1.0,-1.2
.483,.618,.250,.529,.738,.583,.483,.368,105,118,70,100,96,103,186,96,-0.0,3.9
.415,.485,.307,.476,.778,.541,.437,.392,90,93,86,90,101,96,168,102,-108.9,-56.8
.455,.567,.336,.536,.733,.557,.169,.484,99,108,94,101,95,99,65,126,7.6,-8.8
.463,.574,.316,.531,.758,.585,.448,.431,101,110,88,100,98,104,172,112,5.6,62.3
.395,.479,.297,.463,.792,.506,.243,.463,86,91,83,88,103,90,93,121,-28.6,-28.6
.414,.480,.362,.516,.667,.527,.114,.562,90,92,101,97,86,93,44,146,-7.7,-22.9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.390,.464,.286,.449,.674,.474,.195,.415,85,89,80,85,87,84,75,108,-37.6,-46.4
.414,.444,.347,.468,.724,.495,.185,.312,90,85,97,89,94,88,71,81,-19.1,-23.7
.441,.505,.367,.526,.776,.573,.340,.467,96,96,102,100,100,101,131,122,-3.7,13.0
.533,.551,.143,.536,.575,.553,.375,.045,116,105,40,101,74,98,144,12,11.8,-21.6
.530,.546,.048,.531,.584,.550,.376,.031,115,104,13,100,76,97,144,8,2.9,-23.6
.552,.593,.286,.571,.513,.573,.371,.133,120,113,80,108,66,101,143,35,8.9,2.0
.400,.333,.429,.550,1.000,.558,.033,.700,87,64,120,104,129,99,13,182,2.5,-0.8
.444,.535,.259,.487,.741,.510,.158,.328,97,102,72,92,96,90,61,85,-28.7,-40.1
.328,.346,.316,.422,.684,.444,.148,.594,71,66,88,80,89,79,57,155,-27.4,-33.0
.143,.333,.000,.143,,.143,.000,.571,31,64,,27,,25,,149,-5.4,-5.9
.351,.355,.350,.494,.846,.509,.075,.822,76,68,98,93,109,90,29,214,-12.0,-20.0
.477,.517,.331,.512,.807,.591,.543,.215,104,99,93,97,104,105,209,56,-26.2,51.1
.446,.553,.325,.522,.806,.565,.273,.471,97,106,91,99,104,100,105,123,-4.7,-0.2
.443,.525,.349,.524,.787,.564,.270,.469,96,100,98,99,102,100,104,122,-2.0,-0.6
.451,.600,.286,.519,.838,.566,.278,.474,98,115,80,98,108,100,107,123,-2.7,.4
.642,.636,1.000,.649,.769,.682,.388,.015,139,121,279,123,100,121,149,4,16.1,18.4
.336,.337,.333,.384,.862,.436,.216,.291,73,64,93,73,112,77,83,76,-38.7,-37.8
.338,.337,.342,.387,.862,.439,.218,.286,74,64,96,73,112,78,84,74,-37.7,-36.6
.000,,.000,.000,,.000,.000,1.000,,,,,,,,260,-1.1,-1.1
.471,.539,.349,.534,.744,.576,.361,.361,102,103,97,101,96,102,139,94,1.1,3.2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.435,.471,.333,.478,1.000,.502,.087,.261,94,90,93,90,129,89,33,68,-2.3,-3.0
.479,.559,.351,.547,.732,.592,.427,.385,104,107,98,103,95,105,164,100,3.5,6.2
.786,.786,,.786,.333,.751,.214,.000,171,150,,149,43,133,82,,7.2,5.7
.617,.626,.143,.618,.563,.620,.209,.021,134,120,40,117,73,110,80,5,60.5,40.8
.630,.654,.000,.630,.783,.671,.426,.037,137,125,,119,101,119,164,10,10.9,13.6
.354,.558,.292,.466,.750,.481,.091,.764,77,106,81,88,97,85,35,199,-27.7,-38.4
.518,.605,.135,.530,.569,.542,.256,.186,112,115,38,100,74,96,99,48,.5,-10.1
.420,.505,.304,.484,.857,.528,.223,.420,91,96,85,92,111,93,86,109,-16.8,-15.2
.466,.589,.376,.575,.722,.595,.207,.581,101,112,105,109,93,105,80,151,47.9,34.8
.416,.470,.389,.544,.833,.570,.155,.656,91,90,109,103,108,101,60,171,17.5,6.1
.467,.527,.399,.560,.818,.595,.237,.467,102,101,111,106,106,105,91,122,58.4,62.4
.480,.535,.292,.513,.705,.558,.420,.227,104,102,82,97,91,99,161,59,-26.0,-13.5
.441,.389,.500,.559,.500,.559,.118,.471,96,74,140,106,65,99,45,123,2.0,-0.4
.241,.500,.174,.310,.643,.384,.483,.793,52,95,49,59,83,68,186,206,-12.7,-12.7
.362,.375,.333,.415,.792,.464,.255,.319,79,72,93,78,102,82,98,83,-21.4,-21.1
.465,.507,.267,.488,.730,.517,.206,.175,101,97,75,92,94,91,79,46,-62.5,-80.9
.438,.536,.300,.500,.682,.546,.458,.417,95,102,84,95,88,97,176,108,-2.8,-2.1
.353,.556,.125,.382,.600,.444,.588,.471,77,106,35,72,78,79,226,123,-5.0,-5.2
.484,.526,.417,.565,.750,.606,.387,.387,105,100,116,107,97,107,149,101,2.2,3.0
.702,.702,,.701,.533,.686,.448,.000,152,134,,133,69,121,172,,46.3,38.8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.438,.476,.406,.547,.893,.612,.365,.537,95,91,113,103,115,108,140,140,29.9,89.2
.435,.493,.399,.557,.859,.584,.157,.611,95,94,111,105,111,103,60,159,30.8,22.6
.401,.434,.355,.476,.875,.498,.103,.423,87,83,99,90,113,88,40,110,-74.3,-97.3
.426,.473,.385,.529,.735,.551,.176,.530,93,90,108,100,95,98,68,138,-0.1,-8.5
.446,.511,.336,.508,.882,.553,.228,.369,97,97,94,96,114,98,88,96,-24.4,-14.7
.439,.464,.412,.539,.876,.589,.278,.487,95,89,115,102,113,104,107,127,15.9,41.9
.584,.599,.286,.591,.732,.610,.196,.049,127,114,80,112,95,108,75,13,35.5,28.2
.554,.558,.000,.554,.775,.580,.195,.008,120,107,,105,100,103,75,2,12.5,8.2
.471,.512,.347,.514,.807,.568,.352,.247,102,98,97,97,104,101,135,64,-30.5,7.2
.693,.693,,.693,.630,.699,.724,.000,151,132,,131,82,124,278,,182.9,196.6
.400,.485,.299,.468,.933,.507,.158,.458,87,93,83,89,121,90,61,119,-23.0,-23.5
.437,.494,.308,.484,.674,.516,.292,.309,95,94,86,92,87,91,112,80,-68.2,-83.6
.369,.469,.317,.473,.766,.510,.231,.654,80,89,89,89,99,90,89,170,-51.7,-56.1
.382,.397,.373,.495,.820,.537,.242,.608,83,76,104,94,106,95,93,158,-64.5,-58.4
.359,.443,.275,.428,.643,.456,.231,.496,78,85,77,81,83,81,89,129,-49.0,-58.2
.354,.457,.241,.411,.730,.447,.211,.474,77,87,67,78,94,79,81,123,-41.1,-45.0
.373,.400,.351,.470,.474,.478,.284,.552,81,76,98,89,61,85,109,144,-7.9,-13.1
.478,.537,.389,.555,.750,.591,.309,.398,104,102,109,105,97,105,119,103,33.4,37.5
.370,.421,.250,.407,.714,.449,.259,.296,80,80,70,77,92,79,100,77,-6.6,-7.0
.500,.500,,.500,,.500,.000,.000,109,95,,95,,89,,,-0.1,-0.3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.416,.524,.367,.542,.688,.552,.101,.690,90,100,103,103,89,98,39,180,12.7,-12.2
.389,.465,.279,.446,.759,.489,.263,.408,85,89,78,84,98,87,101,106,-52.2,-53.1
.429,.517,.387,.560,.750,.576,.136,.676,93,99,108,106,97,102,52,176,21.7,8.6
.500,.581,.273,.536,.667,.564,.333,.262,109,111,76,101,86,100,128,68,1.7,-0.2
.462,.603,.339,.552,.802,.590,.265,.532,100,115,95,104,104,104,102,139,16.2,19.3
.385,.451,.327,.472,.778,.523,.323,.533,84,86,91,89,101,93,124,139,-22.2,-18.5
.564,.800,.354,.658,.857,.682,.188,.530,123,153,99,124,111,121,72,138,38.4,37.8
.352,.439,.243,.406,.775,.476,.392,.444,77,84,68,77,100,84,151,116,-61.4,-52.1
.395,.500,.301,.475,.923,.513,.166,.529,86,95,84,90,119,91,64,138,-17.1,-17.2
.400,1.000,.000,.400,,.400,.000,.600,87,191,,76,,71,,156,-1.3,-1.6
