Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,ORtg,DRtg
Courtney Lee\leeco01,SG,34,DAL,24,9,5.6,11.5,.488,2.9,6.6,.447,2.7,4.9,.543,0.8,1.0,.857,1.0,3.5,4.5,1.7,2.5,0.8,1.5,15.0,116,111
Damion Lee\leeda03,SG,27,GSW,49,36,7.2,17.2,.417,2.9,8.0,.356,4.3,9.1,.471,3.7,4.2,.873,1.1,7.0,8.0,4.5,1.7,0.2,2.3,20.9,108,114
Alex Len\lenal01,C,26,TOT,55,12,8.6,15.5,.555,0.8,2.9,.271,7.8,12.6,.619,3.3,5.1,.648,4.8,10.7,15.6,2.4,1.1,2.3,2.7,21.2,116,111
Alex Len\lenal01,C,26,ATL,40,9,8.9,16.3,.546,0.9,3.5,.250,8.0,12.8,.627,3.2,5.1,.630,4.3,10.1,14.4,2.6,1.3,2.1,2.4,21.8,115,112
Alex Len\lenal01,C,26,SAC,15,3,7.5,12.7,.593,0.4,0.6,.667,7.1,12.1,.589,3.7,5.2,.708,6.7,12.9,19.6,1.7,0.6,3.2,3.5,19.2,119,108
Kawhi Leonard\leonaka01,SF,28,LAC,57,57,13.6,29.0,.470,3.1,8.3,.378,10.5,20.7,.506,9.1,10.3,.886,1.4,8.9,10.3,7.2,2.6,0.8,3.8,39.5,117,104
Meyers Leonard\leoname01,C,27,MIA,51,49,5.6,11.0,.509,2.5,6.0,.414,3.1,5.0,.623,0.8,1.3,.643,1.4,10.9,12.3,2.6,0.7,0.7,1.8,14.6,114,110
Caris LeVert\leverca01,SG,25,BRK,45,31,11.1,26.0,.425,2.8,7.8,.364,8.2,18.2,.451,5.0,7.0,.711,1.7,5.0,6.7,7.1,1.9,0.4,4.2,30.0,102,110
Damian Lillard\lillada01,PG,29,POR,66,66,12.0,26.0,.463,5.2,13.0,.401,6.8,13.0,.524,8.9,10.0,.888,0.6,4.8,5.5,10.2,1.3,0.4,3.7,38.1,126,117
Nassir Little\littlna01,PF,19,POR,48,5,5.4,12.6,.430,1.2,4.9,.237,4.2,7.7,.554,2.3,3.7,.636,2.6,6.4,9.0,1.8,1.1,1.2,1.2,14.3,108,116
Kevon Looney\looneke01,C,23,GSW,20,4,5.3,14.4,.367,0.2,2.6,.071,5.1,11.9,.431,1.6,2.2,.750,5.1,6.9,12.1,3.7,2.2,1.1,2.2,12.4,94,112
Brook Lopez\lopezbr01,C,31,MIL,68,67,7.3,16.9,.435,2.6,8.2,.314,4.8,8.7,.549,3.2,3.8,.836,1.5,6.4,7.8,2.5,1.2,4.1,1.8,20.4,109,100
Robin Lopez\lopezro01,C,31,MIL,66,5,7.0,14.3,.492,1.7,5.0,.333,5.3,9.2,.577,1.3,2.5,.528,2.7,5.0,7.7,2.1,0.5,2.1,3.0,17.0,101,105
Kevin Love\loveke01,PF,31,CLE,56,56,8.9,19.9,.450,4.0,10.7,.374,4.9,9.2,.537,5.1,6.0,.854,1.5,13.5,15.0,4.9,0.9,0.5,3.8,27.0,112,113
Kyle Lowry\lowryky01,PG,33,TOR,58,58,7.6,18.2,.416,3.7,10.6,.352,3.9,7.6,.504,6.7,7.8,.857,0.7,5.9,6.6,9.8,1.9,0.6,4.0,25.5,116,106
Timothé Luwawu-Cabarrot\luwawti01,SF,24,BRK,47,2,6.5,14.9,.435,3.4,8.9,.388,3.1,6.0,.505,3.8,4.5,.852,1.6,5.4,7.0,1.6,1.0,0.4,2.1,20.2,114,112
