Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
174,-8.8,-8.2,16,12,68,13,21,4,137,3,16
175,2.7,3.4,61,40,53,15,148,9,561,35,62
176,5.9,10.9,30,36,110,35,181,14,251,34,51
177,-14.9,-7.9,19,6,15,2,13,2,119,3,12
178,-1.2,-0.4,42,27,55,19,105,7,536,27,42
179,0.3,-3.8,15,16,35,5,50,4,144,15,29
180,-4.8,8.0,111,43,28,7,85,20,1093,21,31
181,-6.3,0.0,7,4,45,5,27,18,109,5,23
181,-6.8,-2.8,3,3,29,1,18,12,71,3,19
181,-4.9,3.3,4,1,16,4,9,6,38,2,4
182,-1.5,-7.9,20,14,73,22,99,18,221,32,32
183,-6.3,-1.8,1,1,4,0,3,0,22,1,3
184,-13.0,-11.7,5,0,1,0,0,0,5,0,0
185,6.4,1.3,32,12,59,9,16,19,209,4,7
186,-7.1,2.8,74,10,48,4,33,14,636,9,13
187,5.2,-2.0,18,7,78,15,20,5,123,3,20
188,-1.4,-9.1,11,6,24,1,20,1,59,2,5
189,-4.4,-8.2,9,12,42,17,42,8,126,5,14
189,-9.0,-13.4,5,5,19,14,31,3,45,3,10
189,1.5,-1.7,4,7,23,3,11,5,81,2,4
190,-2.3,2.2,22,9,18,1,45,10,151,12,19
191,-2.9,-2.6,16,5,22,2,13,4,106,8,11
192,-54.3,-52.4,0,0,0,0,0,0,2,0,0
193,-8.1,-6.1,13,21,42,9,65,7,218,11,53
194,7.2,5.7,3,1,2,1,1,1,35,0,0
195,-12.0,-9.9,2,0,16,3,8,0,9,2,1
195,-30.0,-26.2,1,0,6,1,3,0,5,0,1
195,-3.2,-2.6,1,0,10,2,5,0,4,2,0
196,13.0,13.7,0,0,0,0,1,0,0,0,0
197,5.6,1.7,31,22,50,8,68,25,335,17,45
198,5.7,9.1,145,95,80,51,326,12,1226,75,92
199,2.2,2.2,26,7,97,12,31,2,162,6,13
199,4.0,-3.6,23,5,76,10,20,1,114,4,11
199,-5.5,1.0,3,2,21,2,11,1,48,2,2
200,-74.3,-74.9,0,0,0,0,0,0,0,0,0
201,6.0,-0.9,30,39,89,18,184,36,266,72,71
202,3.9,3.3,25,17,46,9,43,10,292,12,27
203,0.8,3.7,48,28,74,19,32,10,352,7,56
204,2.8,1.4,36,26,87,17,104,3,540,33,60
205,7.0,12.2,11,3,20,2,23,4,122,3,13
206,-2.5,-2.4,36,20,70,9,53,7,268,13,25
207,7.4,4.8,7,2,22,3,12,2,43,6,2
208,-19.6,-22.8,0,0,2,0,0,2,2,0,0
209,-2.3,-1.4,19,5,100,24,93,10,143,23,14
210,8.5,4.1,41,33,34,18,64,3,505,17,39
211,-1.6,4.9,20,6,42,3,15,6,134,4,11
211,-2.1,6.8,11,2,33,2,11,5,107,3,9
